row_index,DUNS Number,Company Name
126,639552195,"Xiaoguan (Zhangzhou) Food Technology Co., Ltd."
127,639668432,"Zigong Zitonggong Pharmacy Franchise Co., Ltd. Gaodong Store"
128,638066478,"Zigong Jinyu New Material Co., Ltd."
129,639589421,Zigong Yongkang Pharmacy Bangtai Branch
130,639599189,"Zigong Xinmei Spring Pharmacy Franchise Co., Ltd. Guomao Shop"
131,638031135,Zigong Valve Company Lingshou County Branch Factory
132,638068941,"Zigong Shunlu Wangyue Car Service Co., Ltd. Kunming Branch"
133,728780884,"Zigong No.3 Architecture Engineering Co., Ltd. Shuifu Branch"
134,638158679,"Zigong Jiuyuan Pharmacy Franchise Co., Ltd. Franchise No.75 Store"
135,728830646,"Xishuangbanna Jinheng Property Co., Ltd."
136,547769232,"Zigong Huashi Electric Appliance Manufacturing Co., Ltd."
137,547829309,Zigong Gongjing District Traditional Chinese Medicine Hospital
138,639571216,"Sichuan Shiji Haina Technology Co., Ltd."
139,547768028,"Zigong First Construction Engineering Co.,Ltd."
140,547905435,"Zigong Feishen Feedstuff Co., Ltd."
141,547744839,Zigong Da'an District Da'an Primary School
142,547915371,"Zigong Changzheng Tongyong Machinery Manufacturing Co.,Ltd."
143,638103706,"Jiaxing Shuangyun Building Materials Trading Co., Ltd."
144,547762785,"Beijing Chuangshijizhizhi Technology Development Co.,Ltd."
145,639623710,"Zibo Zhongxingda Blasting Engineering Co., Ltd. Laizhou Branch"
146,638076777,"Shandong Luzhong Talent Development Group Co., Ltd."
147,637969836,"Zibo Zhangdian Hongshan Chinese Medicine Clinic Co., Ltd."
148,638030904,"Shandong Yanhe New Energy Co., Ltd."
149,637985440,"Zibo Xinsheng Steel Structure Engineering Co., Ltd."
150,547924001,"Zibo Wantong Automobile Trade Service Co., Ltd."
151,639512589,"Zibo Tianhe Tangjing Taicheng Medicine Franchise Co., Ltd. Boxing Chunliang Center Pharmac"
152,547942680,"Zibo Tanglian Chemical Equipment Co., Ltd."
153,637953466,"Zibo Shuyu Pingmin Pharmacy Co., Ltd. Boshan Anshang Pharmacy"
154,639642668,"Tongliao Yuhe Water Heating Electric Installation Engineering Co., Ltd."
155,638099729,"Wenzhou Zhouyuyi Car Technology Co., Ltd."
156,639580843,"Shandong Hongrui Safety Technology Co., Ltd. Xinjiang Branch"
157,547790920,"Zibo Pancheng Group Co., Ltd."
158,637956200,"Zibo Shuangchuang Wenlu Industry Development Co., Ltd."
159,639622150,"Zibo Dongqi Yulin Catering Management Co., Ltd."
160,547790058,"Shandong Zhongrui Building Materials Co., Ltd."
161,638089406,"Zibo Zhenghao Trading Co., Ltd."
162,547790138,"Haiyang Branch of Zibo Lvneng Gas Engineering Co., Ltd."
163,547788736,Zibo Luzhong Old Motor Vehicle Exchange Center
164,547789638,"Zibo Lujin Economic and Trade Co., Ltd."
165,639623163,"Binzhou Binjian Supply Chain Co., Ltd."
166,547729881,"Tianjin Luhua Hongjin New Material Technology Co., Ltd."
167,637994010,"Zibo Longteng Measurement And Control Equipment Co., Ltd. Zichuan Branch"
168,547789590,"Zibo Linzi Wangnong Plastic Products Co., Ltd."
169,547788957,"Mishan Sales Department, Zibo Linzi District Urban Construction Integrated Devel opment Co"
170,637952548,"Zibo Jizhong Medicine Co., Ltd. Zhong Gold Shop"
171,639591785,"Zibo Sushuo Aesthetics Home Shenghuo Co., Ltd."
172,637996057,"Zibo Jiukang Drug Sales Co., Ltd. Linzi No.80 Pharmacy"
173,638015055,"Zibo Jinxiutao Environment Service Co., Ltd. Qiling Branch"
174,637996226,"Zibo Jinma International Travel Co., Ltd. Zibo Xin Village Road Sales Department"
175,547884311,"Alxa Lanfeng Chemical Co., Ltd."
176,728765683,"Shirong (Tianjin) International Financing Lease Co., Ltd."
177,637952852,"Zibo Huige Business Management Consulting Co., Ltd."
178,639648574,"Henan Zhiyue Huida Technology Service Co., Ltd."
179,639629107,"Zibo Zhangdian District Hongyan Trusteeship Service Co., Ltd."
180,638159531,"Zibo Hongsheng Medical Technology Co., Ltd."
181,639541816,"Zibo Hanshi Medical Technology Co., Ltd. Zhangdian Hanshi Clinic"
182,638120144,"Zibo Yupin Architecture Engineering Co., Ltd."
183,638024763,"Zibo Guanhua Medical Service Co., Ltd. Xincheng Guanhua Dental Clinic"
184,547819615,"Zibo Guangfengda Industry Co., Ltd."
185,639530051,"Shandong Yuanshunhe Construction Engineering Co., Ltd."
186,637953420,"Zibo Qiliu Education Training School Co., Ltd."
187,547830315,Zibo Boshan District Sanitation Epidemic Prevention Station
188,639632361,"Zibo Beihao Oral Cavity Co., Ltd. Zhangdian Beihao Dental Clinic"
189,547788668,"Zibo Yufeng Construction Development Co., Ltd."
190,638006884,"Shandong Weizhao Yuye Stainless Steel Co., Ltd."
191,547891598,"Zibo Aohua Economic Trade Co., Ltd."
192,638157702,"Zibo Anhe Technology Consulting Co., Ltd."
193,638173019,"Xi'an Laopu Industry Co., Ltd."
194,637977465,"Zhuzhou Zhuping Liquefied Gas Co., Ltd. Zhuzhou Shifeng Tianxin Branch"
195,547886796,"Zhuzhou Bridge Hardware Steel Form Co.,Ltd."
196,637981740,"Hunan Yudianjiu Co., Ltd."
197,547868446,"Zhuzhou Xintianxia Computer Co., Ltd."
198,638153751,"Zhuzhou Xiaofengtang Catering Management Co., Ltd. Xiangxiangzhugongda Branch"
199,638063981,"Hunan Sanying Legal Consultancy Services Co., Ltd."
200,639633933,"Zhuzhou Lufengxiang Agriculture Development Co., Ltd."
201,547869705,"Zhuzhou Wanzhong Real Estate Development Co., Ltd."
202,547865490,"Hunan Wuhuan Technology Co., Ltd."
203,638107881,"Beijing Zehua Shidai New Energy Co., Ltd."
204,639539922,"Changsha Xingyun Lingsong Entertainment Co., Ltd."
205,547869364,"Hunan Dajiang Real Estate Development Co., Ltd."
206,547868217,"Zhuzhou Songshan Property Co., Ltd."
207,547863190,Zhuzhou Second Light Industry Sales Company
208,547867500,"Zhuzhou Ruifeng Property Management Co., Ltd."
209,638005743,"Zhuzhou Rongjun Ecotechnology Co., Ltd."
210,639641061,"Guangzhou Renheng Second Jianyue Power Service Co., Ltd."
211,638089952,"Zhuzhou Oujiashang Boutique Nvzhuang Co., Ltd."
212,638032068,"Zhuzhou Miaoli Agricultural & Sideline Products Sales Co., Ltd. Lukou District Longtan Bra"
213,637955198,"Zhuzhou Meitian Geology Technical School Co., Ltd. Changsha Branch"
214,638008030,"Zhuzhou Lingyin Dianjing Hotel Co., Ltd."
215,547867696,"Zhuzhou Overbridge Derricks Equipment Co., Ltd."
216,547866974,"Zhuzhou Jiuhua Xianghe Property Management Co., Ltd."
217,547869655,"Zhuzhou Jingu Real Estate Development Co., Ltd."
218,547869183,"Zhuzhou Hongyang Family Decoration Design Engineering Co., Ltd."
219,547865742,"Hunan Heyi Machinery Manufacturing Co., Ltd."
220,639532354,"Zhuzhou Hengfu Liquefied Gas Co., Ltd. Lukou Qudaxiang Business Department"
221,547863207,"Labor Service Company, Zhuzhou Gas Company"
222,547868028,"Zhuzhou Desheng Industry and Trade Co., Ltd."
223,547863747,Zhuzhou County Property Administration
224,547869145,"Zhuzhou Fengyuan Real Estate Development Co., Ltd."
225,547868243,"Zhuzhou Changxing Construction Engineering Co.,Ltd."
226,547869118,"Zhuzhou Jiajia Property Management Co., Ltd."
227,638069979,"Zhuzhou Caisheng Supply Chain Management Co. Ltd Co., Ltd. Kashgar Branch"
228,638095578,"Zhuzhou Aokesi Auto Parts Co., Ltd."
229,639582528,"Zhuxi Minjun Labor Service Co., Ltd. Zhushan Branch"
230,547768440,Zhengzhou Zhongyuan Construction Company
231,638050031,"Shanghai Yijingchuang Architecture Engineering Co., Ltd."
232,547845762,"Zhushan County Qingu Tap Water Co., Ltd."
233,728838766,Zhuozi County Linong Plantation Farmer Specialty Cooperative
234,728845188,Zhuozi County Chengxing Agricultural Development Farmer Specialty Cooperative Ag ricultura
235,637959062,"Paoding Jieniu (Zhuozhou) Food Co., Ltd."
236,638010078,"Zhuozhou Guokong Financing Guarantee Co., Ltd."
237,637989768,"Zhuozhou Dahongkang Medicine Franchise Co., Ltd. No.126 Branch"
238,639552899,"Qingdao Zhuoyun Ecology Agriculture Development Co., Ltd."
239,638024551,"Zhuoyun Jiuzhou (Beijing) Engineering Management Co., Ltd. Weifang Branch"
240,638097502,"Beijing Meizuitang Catering Management Co., Ltd."
241,639551213,"Zhuoyue Municipal Administration Garden Construction Group Co., Ltd. Qingliu Bra nch"
242,638027435,"Zhuoyue International Travel Agency Co., Ltd. Luohu Branch"
243,639612679,"Wuzhou Chaolian Trading Co., Ltd."
244,638072646,"Zhongyi Supervision Co., Ltd. Qingyuan Branch"
245,728762826,"Xi'an Zhuoxiang Finance & Taxation Group Co., Ltd. Weiyanglu Branch"
246,728841145,"Xi'an Zhuoxiang Human Resources Co., Ltd."
247,638151383,"Zhuoxia Construction Engineering Group Co., Ltd. Xinyu Branch"
248,639597869,"Wendu (Tianjin) Commerce and Trade Co., Ltd."
249,639623491,"Zhuoli (Zhongshan) Development Group Co., Ltd."
250,637971525,"Zhongjin Haotai Construction Group Co., Ltd. Jiangxi Branch"
251,637968067,"Xinjiang Zhuojun Linghan Technology Co., Ltd."
252,639595589,"Zhuoer Construction Engineering Consulting Co., Ltd. Nanchang Branch"
253,547751436,"Zhuoda Holding Group Co., Ltd."
254,639534852,"Zhongjida Health Science & Technology (Beijing) Co., Ltd."
255,639531551,"Hangzhou Yijiamengyuejia Vet Co., Ltd."
256,639552791,"Zhumadian Zhonghong Car Trading Co., Ltd. Zhumadian Biyang Branch"
257,637998234,"Zhumadian Dadi Youjia Decoration Engineering Co., Ltd."
258,639565743,"Zhumadian Yicheng District Meishi Meikang Glasses Co., Ltd."
259,638040432,"Zhumadian Tianzhong Shuguang Cloud Computing Co., Ltd."
260,639562806,"Henan Sandeli Biological Technology Co., Ltd."
261,639553602,"Zhumadian Shuguang Photovoltaic Technology Co., Ltd. Pangu Branch"
262,547818813,"Zhumadian Security Services Co., Ltd. Xiping County Branch"
263,638054541,"Hubei Sancheng Agriculture Co., Ltd."
264,639654807,"Zhumadian Qiyuan Education Information Consulting Co., Ltd. Zidongyuan No.1 Bran ch"
265,547818007,"Zhumadian Jinxin Real Estate Development Co., Ltd."
266,638080709,"Henan Jingsheng Software Technology Co., Ltd."
267,639652421,"Zhumadian Guangda Architecture Engineering Co., Ltd. Industry Yi Road Branch"
268,637966598,"Zhumadian Dingdang Wisdom Medicine Co., Ltd. Jinque Road Branch"
269,637954550,"Zhumadian Dingdang Wisdom Medicine Co., Ltd. Junma Road Branch"
270,547889295,Zhumadian Construction Materials Factory Addition Gas Building Block Branch
271,547820491,Runan Branch of Zhumadian Automobile Transportation Company
272,638051642,"Tongliao Zhumeng New Energy Technology Co., Ltd."
273,639635328,"Zhuji Yishang Farmers' Market Management Co., Ltd. Bozhou Branch"
274,639599524,"Zhuji Yibai Supermarket Co., Ltd. Gaohu Road Shop"
275,637986935,"Zhuji Yibai Supermarket Limited Gong Sishang Haicheng Shop Co., Ltd. Huanpu Road Shop"
276,547802845,"Zhuji Yibai Supermarket Co., Ltd."
277,728797214,"Kaili Xiaomimi Agricultural Science & Technology Co., Ltd."
278,547849013,"Zhuji Liba Craftworks Co., Ltd."
279,637963087,"Zhuji Shentong Express Delivery Co., Ltd. Taozhu Branch"
280,639623583,"Zhuji Nanfeng Intelligence Technology Co., Ltd."
281,639575908,"Zhuji Jingyun New Energy Partnership Enterprise (limited Partnership) Co., Ltd."
282,639540352,"Zhuji Damei E - Commerce Co., Ltd."
283,639543414,"Zhejiang Zhoushan Huaheng Energy Co., Ltd."
284,547880828,"Zhejiang Fengqiu Kerui Pump Industry Co., Ltd."
285,637957972,"Zhuji Weizheng Project Management Co., Ltd."
286,639634571,"Zhuimi Information Technology (Suzhou) Co., Ltd. No.4 Branch"
287,639579880,"Zhuhai Zuozhuanla Commerce And Trade Co., Ltd. Xinqing Nian City Garden Store"
288,547941779,"Zhuhai Xinjian Real Estate Development Co., Ltd."
289,547860663,"Zhuhai Zhuguang Toyota Motor Sales Service Co., Ltd."
290,547891245,"Zhuhai Engineering Construction Supervision Co., Ltd."
291,547860671,"Zhuhai Shifu Trade Co., Ltd."
292,547910898,"Zhuhai Jurong Automobile Trade Co., Ltd."
293,547930211,"Zhuhai Zhongzhu Shenghuo Service Co., Ltd."
294,547952703,"Shenzhen Guangsheng Property Co., Ltd."
295,547924391,"Zhuhai Henghong Investment Co., Ltd."
296,728834075,"Zhuhai Zhongsheng Southern China Construction Engineering Co., Ltd. Heilongjiang Branch"
297,638154482,"Zhuhai Ruyue Medical Instruments Co., Ltd."
298,547894075,"Zhuhai Zhongguang Enterprise (Group) Co., Ltd."
299,728789526,"Xi'an Zhongfu Drink Package Co., Ltd."
300,547927191,"Zhuhai Zhongfu Bottle Industry Co.,Ltd. Huizhou Branch"
301,639584206,"Hunan Yihe Cultural Communication Co., Ltd."
302,638113056,"Guangdong Hongshan Construction Engineering Co., Ltd."
303,638105447,"Guangdong Hongxi Construction Engineering Co., Ltd."
304,638080406,"Guangdong Zhijie Construction Engineering Co., Ltd."
305,638031911,"Guangdong Jiuwang Energy Saving Equipment Co., Ltd."
306,547919707,"Zhuhai Yutongda Transportation Service Co., Ltd."
307,547921506,"Zhuhai Yuntong Aviation Service Co., Ltd."
308,639579819,"Zhuhai Yulin Xingguang Trading Co., Ltd. Youhehui Branch"
309,638012269,"Zhuhai Yuehua Property Management Co., Ltd. Yunfu Branch"
310,547924435,"Zhuhai Yueji Investment Co., Ltd."
311,547852074,"Zhuhai Yuecai Industry Co., Ltd. Huangguan Holiday Hotel"
312,547756806,"Beijing Yuanmiao Medical Technology Co., Ltd."
313,728836927,"Tianjin Haihe Yunbo Investment Management Co., Ltd."
314,547897134,"Zhuhai Yongchun Clothing Co., Ltd."
315,639628600,"Zhuhai Yizhiyin Printing Consumable Material Co., Ltd."
316,638018802,"Zhuhai Yisi Beauty Service Co., Ltd. Gongbei Branch"
317,638115534,"Guangdong Kaiqi Construction Engineering Co., Ltd."
318,639645687,"Zhuhai Ruiqi Wisdom Technology Co., Ltd."
319,547941064,"Zhuhai Yinhai Property Management Co., Ltd."
320,547906991,"Zhuhai No.1 City Development Supervision Co., Ltd."
321,547900529,"Zhuhai Xunjie Transportation Service Co., Ltd."
322,547900724,"Zhuhai Fengmao Investment Co., Ltd."
323,638129673,Zhuhai Gejin No.1 Equity Investment Fund Partnership Enterprise (Limited Partner ship)
324,728820803,"Xi'an Dadi Ruxi Cultural Communication Co., Ltd."
325,638063179,"Zhuhai Xiaorong Dasheng Catering Management Co., Ltd."
326,547942963,"Zhuhai Zhengling Nanqi Property Development Co., Ltd."
327,639579917,"Zhuhai Wuxian Tansuo Catering Management Co., Ltd. Youtehui Store"
328,547887492,"Zhuhai Winner Auto Lamp Manufacturing Co., Ltd."
329,547940506,"Zhuhai Wanjiaju Investment Co., Ltd."
330,639586567,"Zhuhai Wanjia International Travel Agency Co., Ltd. Gongbei Branch"
331,547900869,"Guangzhou Jingfu Investment Co., Ltd."
332,637958841,"Zhuhai Wangsihai International Travel Agency Co., Ltd. Xiamen Branch"
333,728901424,"Yinchuan Jinfeng Wanda Public Square Business Management Co., Ltd."
334,728747508,"Jinzhong Jiadi Wanda Public Square Business Management Co., Ltd."
335,728827781,"Jiamusi Wanda Public Square Business Management Co., Ltd."
336,728785149,"Haikou Wanda Public Square Business Management Co., Ltd."
337,728745582,"Tianjin Wuqing District Wanda Business Management Co., Ltd."
338,639534323,"Shijiazhuang Jinshan Wanda Public Square Business Management Co., Ltd."
339,637999948,"Yangzhou Guangling Xincheng Wanda Public Square Business Management Co., Ltd."
340,547916278,"Zhuhai Xianghe Industry and Trade Co., Ltd."
341,547940222,"Zhuhai Tianhao Electronic Technology Co., Ltd."
342,639561128,"Zhuhai Tengfeng Technology Co., Ltd."
343,547914274,"Zhuhai Taiyi Electronic Technology Co., Ltd."
344,547893686,Zhuhai Taiwan Businessmen Investment Enterprise Association
345,547941841,"Zhuhai Huashang Machinery Equipment Co., Ltd."
346,547898109,"Zhuhai Taicheng Restaurant Co., Ltd."
347,547894625,"Guangzhou Xingjian Real Estate Development Co., Ltd."
348,547899695,"Zhuhai Special Economic Zone Runwin Electric Appliance Co.,Ltd"
349,547891228,Zhuhai Special Economic Zone Peace Industry Co Ltd
350,547917237,"Zhuhai Kaida New Material Technology Co., Ltd."
351,547907081,"Zhuhai Henglong Property Management Co., Ltd."
352,547798775,"Kunming Branch of Zhuhai Sikexin Electric Wire Cable Co., Ltd."
353,639641426,"Zhuhai Shunfeng Express Co., Ltd. Jinpeng Branch"
354,637971403,"Zhongshan Wenqian Technology Co., Ltd."
355,547899594,"Zhuhai Hairun Real Estate Development Co., Ltd."
356,547925142,"Shenzhen Topel Media Co., Ltd."
357,547913762,"Zhuhai Shisheng Electronic Technology Co., Ltd."
358,547915812,"Zhuhai Shihang Real Estate Development Co., Ltd."
359,639624629,"Zhuhai Shengyi New Energy Co., Ltd."
360,638007981,"Zhuhai Shenghai Business Management Co., Ltd."
361,639607010,"Zhongshan Shan'En Cultural Communication Co., Ltd."
362,638152177,"Zhuhai Sanmu Catering Management Co., Ltd. Ao Park Branch"
363,638121600,"Shaoguan Runxi Resources Comprehensive Utilization Co., Ltd."
364,547893869,"Zhuhai Ridong Real Estate Development Co., Ltd."
365,639595627,"Zhuhai Qinrun Trading Co., Ltd. Xiawan Branch"
366,638094075,"Zhuhai Xingming Machinery Lease Co., Ltd."
367,638042368,"Zhongtian Nonghe (Guangdong) Agriculture Development Co., Ltd."
368,728823463,"Xi'an Pufeng Warehousing Co., Ltd."
369,639615386,"Fangchenggang Puleduo Fisheries Co., Ltd."
370,547906772,"Zhuhai Gangxu Supply Chain Management Co., Ltd."
371,547905266,Foshan Branch of Zhuhai Planning Design Institute
372,639561154,"Zhuhai Gangzhenlan Meter Co., Ltd."
373,547952664,"Zhuhai Mingsheng Waste Material Recycling Co., Ltd."
374,547919186,"Zhuhai Jiafeng Investment Co., Ltd."
375,547940631,"Zhuhai Meigaocheng Hardware Products Co., Ltd."
376,547891010,"Zhuhai Make Technology Co., Ltd."
377,547899116,"Zhuhai Lvjing Property Management Co., Ltd."
378,638001753,"Zhuhai Fuguang Technology Co., Ltd."
379,728856892,"Xi'An Yuenonghantengbuliang Property Disposal Co., Ltd."
